event_id,platform,event_time,text,url,query,n_trades,tickers,total_pnl,avg_pnl,total_notional,nw_return
c14797a02d51,truth_social,2026-04-10,Palantir Technologies (PLTR) has proven to have great war fighting capabilities and equipment. Just ask our enemies!!! President DJT,https://truthsocial.com/@realDonaldTrump/116380894672815869,,12,PLTR,48102.26070316502,4008.5217252637517,1335012.0,0.03603133208028469
723403574d54,truth_social,2026-01-22,Trump sues JPMorgan Chase and CEO Jamie Dimon for $5B over alleged 'political' debanking: https://www.foxbusiness.com/politics/trump-sues-jpmorgan-chase-ceo-jamie-dimon-5b-over-alleged-political-debanking,https://truthsocial.com/@realDonaldTrump/115940059516984793,,6,JPM,1428.014848584261,238.0024747640435,167006.0,0.008550679907214477
ad8f8438de5f,truth_social,2026-01-17,"A front page Article in The Fake News Wall Street Journal states, without any verification, that I offered Jamie Dimon, of JPMorgan Chase, the job of Fed Chairman. This statement is totally untrue, there was never such an offer and, in fact, I'll be suing JPMorgan Chase over the next two weeks for incorrectly and inappropriately DEBANKING me after the January 6th Protest, a protest that turned out to be correct for those doing the protesting — The Election was RIGGED! Why wouldn't The Wall Street Journal call me to ask whether or not such an offer was made? I would have very quickly told them, ""NO,"" and that would have been the end of the story. Also, one was led to believe that I offered Jamie Dimon the job of Secretary of the Treasury, but that would be one that he would be very interested in. The problem is, I have Scott Bessent doing a fantastic job, A SUPERSTAR — Why would I give it to Jamie? No such offer was made there, or even thought of, either. The Wall Street Journal ought to do better ""fact checking,"" or its already strained credibility will continue to DIVE. Thank you for your attention to this matter!",https://truthsocial.com/@realDonaldTrump/115911321115123547,,6,JPM,1428.014848584261,238.0024747640435,167006.0,0.008550679907214477
70f943fc1a8a,truth_social,2026-05-13,"RT @realDonaldTrumpCNBC incorrectly reported that the Great Jensen Huang, of Nvidia, was not invited to the incredible gathering of the World's Greatest Businessmen/women proudly going to China. In actuality, Jensen is currently on Air Force One and, unless I ask him to leave, which is highly unlikely, CNBC's reporting is incorrect or, as they say in politics, FAKE NEWS! It is an Honor to have Jensen, Elon, Tim Apple, Larry Fink, Stephen Schwarzmann, Kelly Ortberg (Boeing), Brian Sikes (Cargill), Jane Fraser (Citi), Larry Culp (GE Aerospace), David Solomon (Goldman Sachs), Sanjay Mehrotra (Micron), Cristiano Amon (Qualcomm), and many others journeying to the Great Country of China where I will be asking President Xi, a Leader of extraordinary distinction, to ""open up"" China so that these brilliant people can work their magic, and help bring the People's Republic to an even higher level! In fact, I promise, that when we are together, which will be in a matter of hours, I will make that my very first request. I have never seen or heard of any idea that would be more beneficial to our incredible Countries! President DONALD J. TRUMP",https://truthsocial.com/@realDonaldTrump/116565480086717671,,5,GS,399.0945656861162,79.81891313722323,61005.0,0.006541997634392529
65ee12e05001,truth_social,2026-05-12,"RT @realDonaldTrumpCNBC incorrectly reported that the Great Jensen Huang, of Nvidia, was not invited to the incredible gathering of the World's Greatest Businessmen/women proudly going to China. In actuality, Jensen is currently on Air Force One and, unless I ask him to leave, which is highly unlikely, CNBC's reporting is incorrect or, as they say in politics, FAKE NEWS! It is an Honor to have Jensen, Elon, Tim Apple, Larry Fink, Stephen Schwarzmann, Kelly Ortberg (Boeing), Brian Sikes (Cargill), Jane Fraser (Citi), Larry Culp (GE Aerospace), David Solomon (Goldman Sachs), Sanjay Mehrotra (Micron), Cristiano Amon (Qualcomm), and many others journeying to the Great Country of China where I will be asking President Xi, a Leader of extraordinary distinction, to ""open up"" China so that these brilliant people can work their magic, and help bring the People's Republic to an even higher level! In fact, I promise, that when we are together, which will be in a matter of hours, I will make that my very first request. I have never seen or heard of any idea that would be more beneficial to our incredible Countries! President DONALD J. TRUMP",https://truthsocial.com/@realDonaldTrump/116565073088871081,,5,GS,399.0945656861162,79.81891313722323,61005.0,0.006541997634392529
9c3d4c5b6726,truth_social,2026-05-12,"CNBC incorrectly reported that the Great Jensen Huang, of Nvidia, was not invited to the incredible gathering of the World's Greatest Businessmen/women proudly going to China. In actuality, Jensen is currently on Air Force One and, unless I ask him to leave, which is highly unlikely, CNBC's reporting is incorrect or, as they say in politics, FAKE NEWS! It is an Honor to have Jensen, Elon, Tim Apple, Larry Fink, Stephen Schwarzmann, Kelly Ortberg (Boeing), Brian Sikes (Cargill), Jane Fraser (Citi), Larry Culp (GE Aerospace), David Solomon (Goldman Sachs), Sanjay Mehrotra (Micron), Cristiano Amon (Qualcomm), and many others journeying to the Great Country of China where I will be asking President Xi, a Leader of extraordinary distinction, to ""open up"" China so that these brilliant people can work their magic, and help bring the People's Republic to an even higher level! In fact, I promise, that when we are together, which will be in a matter of hours, I will make that my very first request. I have never seen or heard of any idea that would be more beneficial to our incredible Countries! President DONALD J. TRUMP",https://truthsocial.com/@realDonaldTrump/116565066757116256,,5,GS,399.0945656861162,79.81891313722323,61005.0,0.006541997634392529
bf1bb6de3067,truth_social,2026-03-06,"There will be no deal with Iran except UNCONDITIONAL SURRENDER! After that, and the selection of a GREAT & ACCEPTABLE Leader(s), we, and many of our wonderful and very brave allies and partners, will work tirelessly to bring Iran back from the brink of destruction, making it economically bigger, better, and stronger than ever before. IRAN WILL HAVE A GREAT FUTURE. ""MAKE IRAN GREAT AGAIN (MIGA!)."" Thank you for your attention to this matter! President DONALD J. TRUMP",https://truthsocial.com/@realDonaldTrump/116182551337254643,,2,S,-173.28132257474815,-86.64066128737407,2002.0,-0.08655410718019388
55ccc479be03,truth_social,2025-12-16,"Numbers recently released show that TARIFFS have reduced the Trade Deficit of the United States by more than half. This is larger than anyone, except ME, projected, and will only get stronger in the near future. Everybody should pray that the United States Supreme Court has the Wisdom and Genius to allow Tariffs to GUARD our National Security, and our Financial Freedom! There are Evil, America hating Forces against us. We can not let them prevail. Thank you for your attention to this matter. MAKE AMERICA GREAT AGAIN!",https://truthsocial.com/@realDonaldTrump/115731785428395132,,2,TTD,-186.21481015877873,-93.10740507938937,2002.0,-0.09301439068870067
2bb745429fa1,truth_social,2026-03-11,"I am on my way to the Great State of Ohio, which I love and WON BIG three times, to visit Thermo Fisher, a Pharmaceutical Manufacturing Company, that is investing $2 Billion Dollars in U.S. Manufacturing, and bringing GREAT paying jobs back to Ohio from overseas. Thermo Fisher is doing this because of my America First Trade Policies, most specifically TARIFFS, which charge other Countries for access to our Markets while protecting our important Industries, and strengthening our Supply Chains. Thanks to my ""Most Favored Nation"" Deals, Prescription Drug Prices are coming down by A LOT, and I have asked Congress to CODIFY these Policies. After that I will be heading to the wonderful Commonwealth of Kentucky. See you soon!",https://truthsocial.com/@realDonaldTrump/116211753106602288,,3,TMO,-902.3074982608196,-300.76916608693983,45003.0,-0.0200499410763909
30351b45447e,truth_social,2026-03-06,"We just concluded a very good meeting with the largest U.S. Defense Manufacturing Companies where we discussed Production and Production Schedules. They have agreed to quadruple Production of the ""Exquisite Class"" Weaponry in that we want to reach, as rapidly as possible, the highest levels of quantity. Expansion began three months prior to the meeting, and Plants and Production of many of these Weapons are already under way. We have a virtually unlimited supply of Medium and Upper Medium Grade Munitions, which we are using, as an example, in Iran, and recently used in Venezuela. Regardless, however, we have also increased Orders at these levels. The Companies represented were the CEOs of BAE Systems, Boeing, Honeywell Aerospace, L3Harris Missile Solutions, Lockheed Martin, Northrop Grumman, and Raytheon. The meeting concluded with another meeting scheduled in two months. States all over the Country are bidding for these new Plants. Thank you for your attention to this matter! President DONALD J. TRUMP",https://truthsocial.com/@realDonaldTrump/116184185735585906,,4,"LMT, NOC",-1221.7417302524073,-305.4354325631018,32004.0,-0.03817465723823295
